Country,Code,Year,Life Expectancy,Health Expenditure Per Capita,Population (historical),Continent,Happiness
Spain,ESP,2014,82.828,3045.0955,46720186.0,,86
Spain,ESP,2015,82.611,3185.0833,46683683.0,Europe,77
Spain,ESP,2016,83.0,3341.0269,46732766.0,,78
Sweden,SWE,2000,79.739,2172.7175,8872100.0,,94
Sweden,SWE,2001,79.836,2367.8838,8896018.0,,95
Sweden,SWE,2002,79.935,2543.5967,8925044.0,,93
Sweden,SWE,2003,80.195,2651.2825,8958432.0,,93
Sweden,SWE,2004,80.546,2758.0537,8993806.0,,93
Sweden,SWE,2005,80.621,2796.842,9029770.0,,96
Sweden,SWE,2006,80.832,3049.131,9080626.0,,96
Sweden,SWE,2007,80.97,3283.3098,9148277.0,,96
Sweden,SWE,2008,81.137,3474.2888,9219903.0,,96
Sweden,SWE,2009,81.363,3548.7546,9298738.0,,96
Sweden,SWE,2010,81.519,3526.9592,9378234.0,,92
Sweden,SWE,2011,81.758,4663.241,9449262.0,,96
Sweden,SWE,2012,81.73,4896.0234,9519479.0,,97
Sweden,SWE,2013,81.935,5073.838,9600621.0,,97
Sweden,SWE,2014,82.224,5193.2,9696437.0,,95
Sweden,SWE,2015,82.184,5333.4023,9799482.0,Europe,96
Sweden,SWE,2016,82.339,5512.933,9923281.0,,96
Switzerland,CHE,2010,82.287,5481.197,7825751.0,,93
Thailand,THA,2010,75.012,440.28943,68579442.0,,92
Thailand,THA,2014,76.279,557.9553,70216362.0,,93
Turkey,TUR,2004,73.223,532.91113,68592621.0,,72
Turkey,TUR,2005,73.51,580.6049,69329555.0,,73
Turkey,TUR,2006,73.804,698.89874,70045352.0,,71
Turkey,TUR,2007,74.129,775.0357,70750595.0,,73
Turkey,TUR,2008,74.38,833.66016,71562344.0,,61
Turkey,TUR,2009,74.679,846.2849,72464845.0,,61
Turkey,TUR,2010,74.964,870.2638,73346766.0,,79
Turkey,TUR,2011,74.823,912.1887,74215200.0,,64
Turkey,TUR,2012,75.552,915.5404,75197195.0,,67
Turkey,TUR,2013,76.171,972.4623,76403032.0,,67
Turkey,TUR,2014,76.452,1030.1698,78036154.0,,84
Turkey,TUR,2015,76.539,1045.3761,80014221.0,Asia,65
Turkey,TUR,2016,76.595,1119.2522,81652086.0,,66
Ukraine,UKR,2004,67.472,401.76294,47979502.0,,46
Ukraine,UKR,2010,70.188,563.91364,46456002.0,,71
Ukraine,UKR,2014,71.803,735.6914,45972378.0,,68
United Kingdom,GBR,2000,77.849,1907.1285,59057336.0,,87
United Kingdom,GBR,2001,78.121,2059.7097,59288095.0,,88
United Kingdom,GBR,2002,78.237,2243.1907,59540763.0,,87
United Kingdom,GBR,2003,78.33,2456.9124,59820385.0,,87
United Kingdom,GBR,2004,78.9,2678.2512,60169964.0,,90
United Kingdom,GBR,2005,79.106,2756.9673,60596108.0,,88
United Kingdom,GBR,2006,79.347,3017.43,61051093.0,,88
United Kingdom,GBR,2007,79.534,3083.396,61535860.0,,89
United Kingdom,GBR,2008,79.655,3338.7627,62027303.0,,87
United Kingdom,GBR,2009,80.156,3546.479,62506221.0,,89
United Kingdom,GBR,2010,80.391,3654.8953,63006484.0,,92
United Kingdom,GBR,2011,80.796,3720.3972,63509285.0,,90
United Kingdom,GBR,2012,80.859,3837.708,63960487.0,,91
United Kingdom,GBR,2013,80.923,3971.9548,64389386.0,,90
United Kingdom,GBR,2014,81.153,4102.0044,64865914.0,,93
United Kingdom,GBR,2015,80.919,4202.952,65382107.0,Europe,93
United Kingdom,GBR,2016,81.067,4342.906,65893359.0,,93
United States,USA,2004,77.535,6045.938,292786247.0,,93
United States,USA,2010,78.668,7832.2666,311062786.0,,93
United States,USA,2014,78.879,8824.776,323115378.0,,90
Uruguay,URY,2010,76.691,1448.1516,3318582.0,,86
Uruguay,URY,2014,77.194,1766.8184,3356342.0,,86
Venezuela,VEN,2004,72.752,820.8066,26340843.0,,86
Vietnam,VNM,2004,73.062,142.907,80338978.0,,91
Vietnam,VNM,2010,73.611,252.99875,87455150.0,,92
Zimbabwe,ZWE,2014,58.106,208.36397,14207367.0,,79
